date,season,location,roost,roost type,box exp,other animals in roost,time,bat.id,bag nr,genus,species,transmitter,tx mass,tx attachment,tx time on,recap,mass w bag,mass of bag,mass of bat,sex,age,FA.right,FA.left,repro state,nipple ,testes,testes size,bucchal gland,streblids,streblid counts,mites,mite counts,other parasites,parasites coll?,wingpunch (Dna/MHC),wingpunch samples,isotopes,fur samples (isotopes),feces,foto,blood smear,blood sample,vaginal smear,teeth,Team,comment,,,
2012-04-30,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,200,21:00,000708D660,NA,Nyctalus,noctula,149.826,NA,Superglue,NA,no,NA,NA,25.2,m,a,55.7,NA,nr,NA,s,NA,NA,no,NA,no,NA,no,no,no,0,fur,NA,NA,yes,no,no,no,,,"5th finger: 60.2, right wingtip torn, pic of left?, tracked with VTK 2012",,,
2012-04-30,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,200,21:00,00070B49F6,NA,Nyctalus,noctula,149.750,NA,Superglue,NA,no,NA,NA,30.5,f,a,54.8,NA,NA,s,NA,NA,NA,yes,1,yes,few,no,no,no,0,fur,NA,NA,yes,no,no,no,,,"5th finger: 59.9, tracked with VTK 2012",,,
2012-04-30,spring,Reichenau-Waldsiedlung,school-front-right,roof,NA,200,21:00,00070B5B9E,NA,Nyctalus,noctula,151.767,NA,Superglue,NA,no,NA,NA,28.6,f,a,54.7,NA,NA,s,NA,NA,NA,no,NA,no,NA,no,NA,no,0,fur,NA,NA,yes,no,no,no,,,"5th finger ri: 57.5tracked with VTK 2012, collected fecal sample from roost (not individual sample) ",,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Sommertonne neben Kasten 7,sommertonne,NA,1,10:00,000708831B,NA,Nyctalus,noctula,no,NA,NA,NA,no,54,26,28,m,a,52.3,NA,nr,NA,s,NA,NA,NA,NA,NA,NA,NA,no,no,0,no,NA,NA,yes,no,no,no,,,,,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Kr Kasten 7,rundkasten,NA,2,10:00,00070887A1,NA,Nyctalus,noctula,no,NA,NA,NA,no,59,26,33,f,a,54.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no,0,no,NA,NA,yes,no,no,no,,,young from last year,,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Kr Kasten 7,rundkasten,NA,2,10:00,00070890C6,NA,Nyctalus,noctula,no,NA,NA,NA,no,52,25,27,m,a,55.2,NA,scr,NA,s,NA,NA,NA,NA,NA,NA,NA,no,no,0,no,NA,NA,yes,no,no,no,,,samples possibliy labelled: 00070890CB,,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Kr Kasten 21,rundkasten,NA,0,10:00,000708A277,NA,Nyctalus,noctula,no,NA,NA,NA,no,53,25,28,m,a,53.8,NA,scr,NA,m,NA,NA,NA,NA,NA,NA,bug,bug,no,0,no,NA,NA,yes,no,no,no,,,only animal in box,,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Kr Kasten 1,rundkasten,NA,1,10:00,000708A851,NA,Nyctalus,noctula,no,NA,NA,NA,no,54,26,28,m,a,55.1,NA,nr,NA,s,NA,NA,NA,NA,yes,4,NA,no,no,0,no,NA,NA,yes,no,no,no,,,,,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Kr Kasten 29,rundkasten,NA,0,10:00,000708AB57,NA,Nyctalus,noctula,no,NA,NA,NA,no,57,26,31,m,a,55.6,NA,scr,NA,m,NA,NA,NA,NA,NA,NA,NA,no,no,0,feces,NA,NA,yes,no,no,no,,,only one epydidimes filled,,,
2012-05-07,spring,Kreuzlingen Seeburgpark,Kr Kasten 7,rundkasten,NA,2,10:00,000708B166,NA,Nyctalus,noctula,no,NA,NA,NA,no,55,26,29,f,a,54.7,NA,NA,s,NA,NA,NA,NA,NA,NA,NA,NA,no,no,0,no,NA,NA,yes,no,no,no,,,young from last year,,,
