"","event.id","visible","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.ellipsoid","height.above.msl","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name"
"20",5995292499,"true","2018-04-19 19:35:03.000",-6.47914,36.98143,1,386,6,4.111111144,NA,30,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"21",5995292500,"true","2018-04-19 19:35:33.000",-6.47974,36.98229,1,412,6,7.194444502,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"22",5995292501,"true","2018-04-19 19:36:03.000",-6.4788,36.982,1,366,6,5.13888893,NA,18,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"23",5995292502,"true","2018-04-19 19:36:33.000",-6.47943,36.98119,1,413,6,6.166666716,NA,24,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"24",5995292503,"true","2018-04-19 19:37:03.000",-6.48154,36.98097,1,410,5,5.13888893,NA,20,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"25",5995292504,"true","2018-04-19 19:37:33.000",-6.48162,36.98018,1,373,6,5.13888893,NA,26,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"26",5995292505,"true","2018-04-19 19:38:04.000",-6.48136,36.98035,1,425,6,7.194444502,NA,22,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"27",5995292506,"true","2018-04-19 19:38:33.000",-6.48098,36.98086,1,343,6,4.111111144,NA,24,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"28",5995292507,"true","2018-04-19 19:39:03.000",-6.48131,36.98127,1,422,6,7.194444502,NA,0,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
"29",5995292508,"true","2018-04-19 19:39:33.000",-6.48137,36.98137,1,391,6,3.083333358,NA,28,"gps","Nyctalus lasiopterus","GPA-1_60F1_S1","60F1","Nyctalus lasiopterus noctulo mayor Donana"
