"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"A563.1535",1535,5995294095,2018-04-20 20:03:06,-6.44358,36.99064,2,345,3,0,40,30,"A563",2,193514.895030052,4099379.47538665,"A563.2"
"A563.1536",1536,5995294096,2018-04-20 20:03:36,-6.44345,36.99037,2,324,3,0,62,30,"A563",2,193525.384197815,4099349.08936643,"A563.2"
"A563.1537",1537,5995294097,2018-04-20 20:04:06,-6.44392,36.99031,2,324,3,0,48,28,"A563",2,193483.298033169,4099343.94512891,"A563.2"
"A563.1538",1538,5995294098,2018-04-20 20:04:34,-6.44369,36.99069,2,302,3,0,-8,32,"A563",2,193505.302477847,4099385.37941788,"A563.2"
"A563.1539",1539,5995294099,2018-04-20 20:05:06,-6.44322,36.99065,2,291,3,0,36,31,"A563",2,193546.986608831,4099379.42487289,"A563.2"
"A563.1540",1540,5995294100,2018-04-20 20:05:37,-6.44373,36.99053,2,293,3,0,6,30,"A563",2,193501.098226889,4099367.75015565,"A563.2"
"A563.1541",1541,5995294101,2018-04-20 20:06:07,-6.44361,36.99062,2,312,3,0,-6,28,"A563",2,193512.143709519,4099377.35231642,"A563.2"
"A563.1542",1542,5995294102,2018-04-20 20:06:35,-6.44361,36.99051,2,277,3,0,20,29,"A563",2,193511.701672201,4099365.14354929,"A563.2"
"A563.1543",1543,5995294103,2018-04-20 20:07:04,-6.44374,36.99054,2,314,3,0,0,31,"A563",2,193500.248095606,4099368.8922801,"A563.2"
"A563.1544",1544,5995294104,2018-04-20 20:07:35,-6.44373,36.99059,2,322,3,0,-8,29,"A563",2,193501.339346556,4099374.40948341,"A563.2"
"A563.1545",1545,5995294105,2018-04-20 20:08:04,-6.44258,36.99125,2,398,3,4.111111144,40,30,"A563",2,193606.377266865,4099443.9554952,"A563.2"
"A563.1546",1546,5995294106,2018-04-20 20:08:34,-6.44138,36.99271,2,300,3,7.194444502,20,30,"A563",2,193719.077780628,4099602.13262306,"A563.2"
"A563.1547",1547,5995294107,2018-04-20 20:09:04,-6.44151,36.99648,2,422,3,13.388888996,-128,31,"A563",2,193722.6459606,4100020.97909973,"A563.2"
"A563.1548",1548,5995294108,2018-04-20 20:09:35,-6.4426,36.99941,2,413,3,12.333333432,-14,28,"A563",2,193637.381765563,4100349.68869059,"A563.2"
"A563.1549",1549,5995294109,2018-04-20 20:10:03,-6.44355,37.00191,2,411,3,13.388888996,6,30,"A563",2,193562.859939683,4100630.223118,"A563.2"
"A563.1550",1550,5995294110,2018-04-20 20:10:33,-6.44311,37.00527,2,385,3,11.305555646,48,31,"A563",2,193615.532418804,4101001.72752999,"A563.2"
"A563.1551",1551,5995294111,2018-04-20 20:11:04,-6.44302,37.00828,2,423,3,12.333333432,38,29,"A563",2,193635.641957067,4101335.51420702,"A563.2"
"A563.1552",1552,5995294112,2018-04-20 20:11:33,-6.44228,37.01085,2,400,3,13.388888996,50,30,"A563",2,193711.838245584,4101618.37070816,"A563.2"
"A563.1553",1553,5995294113,2018-04-20 20:12:03,-6.44207,37.01385,2,402,3,11.305555646,58,30,"A563",2,193742.586179978,4101950.66092266,"A563.2"
"A563.1554",1554,5995294114,2018-04-20 20:12:33,-6.44263,37.01619,2,280,3,3.083333358,50,30,"A563",2,193702.149692978,4102212.18024372,"A563.2"
