"","X","event.id","timestamp","location.long","location.lat","gps.hdop","gps.maximum.signal.strength","gps.satellite.count","ground.speed","height.above.msl","tlag","batID","BatDay","utm.x","utm.y","batIDday"
"A563.1196",1196,5995293756,2018-04-19 19:28:53,-6.4485,37.01669,12.1,423,3,4.111111144,846,11,"A563",1,193181.722518885,4102286.61264089,"A563.1"
"A563.1197",1197,5995293757,2018-04-19 19:29:04,-6.44831,37.01695,12,363,3,5.13888893,844,31,"A563",1,193199.679647359,4102314.8563608,"A563.1"
"A563.1198",1198,5995293758,2018-04-19 19:29:35,-6.44781,37.0175,11.3,370,3,3.083333358,862,30,"A563",1,193246.394394016,4102374.28616446,"A563.1"
"A563.1199",1199,5995293759,2018-04-19 19:30:05,-6.44767,37.01805,11.2,367,3,1.027777786,858,31,"A563",1,193261.06864024,4102434.87829197,"A563.1"
"A563.1200",1200,5995293760,2018-04-19 19:30:36,-6.44687,37.01852,11,373,3,3.083333358,850,30,"A563",1,193334.160082903,4102484.46094383,"A563.1"
"A563.1201",1201,5995293761,2018-04-19 19:31:06,-6.44659,37.01886,10.3,306,3,4.111111144,830,29,"A563",1,193360.448206859,4102521.29361811,"A563.1"
"A563.1202",1202,5995293762,2018-04-19 19:31:35,-6.44676,37.0191,10.2,403,3,1.027777786,818,30,"A563",1,193346.284398125,4102548.4796794,"A563.1"
"A563.1203",1203,5995293763,2018-04-19 19:32:05,-6.44637,37.01954,10.1,286,3,2.055555572,780,31,"A563",1,193382.764532141,4102596.0563194,"A563.1"
"A563.1204",1204,5995293764,2018-04-19 19:32:36,-6.44628,37.02004,9.4,382,3,2.055555572,754,30,"A563",1,193392.786533162,4102651.26050194,"A563.1"
"A563.1205",1205,5995293765,2018-04-19 19:33:06,-6.4458,37.02026,9.3,406,3,2.055555572,716,30,"A563",1,193436.39048097,4102674.12928214,"A563.1"
"A563.1206",1206,5995293766,2018-04-19 19:33:36,-6.44644,37.02062,9.2,377,3,1.027777786,700,30,"A563",1,193380.881245266,4102716.15059165,"A563.1"
"A563.1207",1207,5995293767,2018-04-19 19:34:06,-6.44674,37.02089,9.1,389,3,1.027777786,676,30,"A563",1,193355.269010713,4102747.08588074,"A563.1"
"A563.1208",1208,5995293768,2018-04-19 19:34:36,-6.44622,37.02142,9,406,3,1.027777786,632,30,"A563",1,193403.680043588,4102804.23203194,"A563.1"
"A563.1209",1209,5995293769,2018-04-19 19:35:06,-6.44498,37.02173,8.4,354,3,11.305555646,572,30,"A563",1,193515.281804023,4102834.63795439,"A563.1"
"A563.1210",1210,5995293770,2018-04-19 19:35:36,-6.44735,37.02298,8.3,412,3,1.027777786,578,29,"A563",1,193309.395254697,4102981.02241316,"A563.1"
"A563.1211",1211,5995293771,2018-04-19 19:36:05,-6.44771,37.02367,8.2,370,3,3.083333358,558,31,"A563",1,193280.135664783,4103058.76721532,"A563.1"
"A563.1212",1212,5995293772,2018-04-19 19:36:36,-6.44817,37.02474,8.1,408,3,4.111111144,520,30,"A563",1,193243.50774635,4103179.01099837,"A563.1"
"A563.1213",1213,5995293773,2018-04-19 19:37:06,-6.44871,37.02586,8.1,370,3,4.111111144,502,30,"A563",1,193199.963225241,4103305.0628484,"A563.1"
"A563.1214",1214,5995293774,2018-04-19 19:37:36,-6.45009,37.02728,8,400,3,3.083333358,486,30,"A563",1,193082.878119981,4103467.125394,"A563.1"
"A563.1215",1215,5995293775,2018-04-19 19:38:06,-6.4503,37.02829,7.4,375,3,5.13888893,436,30,"A563",1,193068.260588624,4103579.90323148,"A563.1"
"A563.1216",1216,5995293776,2018-04-19 19:38:36,-6.45105,37.02942,7.3,404,3,5.13888893,392,30,"A563",1,193006.074609573,4103707.7448954,"A563.1"
"A563.1217",1217,5995293777,2018-04-19 19:39:06,-6.4514,37.03061,7.3,437,3,4.111111144,386,30,"A563",1,192979.72665312,4103840.95359766,"A563.1"
"A563.1218",1218,5995293778,2018-04-19 19:39:36,-6.45142,37.03167,7.2,404,3,9.250000074,356,30,"A563",1,192982.220309673,4103958.66714196,"A563.1"
"A563.1219",1219,5995293779,2018-04-19 19:40:06,-6.45188,37.03279,7.2,295,3,4.111111144,326,30,"A563",1,192945.803722391,4104084.46235553,"A563.1"
"A563.1220",1220,5995293780,2018-04-19 19:40:36,-6.45184,37.03445,7.1,411,3,5.13888893,290,30,"A563",1,192956.056464298,4104268.57574035,"A563.1"
"A563.1221",1221,5995293781,2018-04-19 19:41:06,-6.45126,37.03575,7,399,3,3.083333358,252,30,"A563",1,193012.906329346,4104410.98738739,"A563.1"
